question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
multiple_choice,Circus Clown Number Hunt,Which clown hat shows Number 1?,hat_num1.webp,audio_q1.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Circus Clown Number Hunt,Find Number 2 on the circus tent!,tent_num2.webp,audio_q2.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Circus Clown Number Hunt,Which circus ball has Number 3?,ball_num3.webp,audio_q3.mp3,1,3,2,1,,,3,,,,,,,
multiple_choice,Circus Clown Number Hunt,Tap Number 4 on Clown Leo's bowtie!,bowtie_num4.webp,audio_q4.mp3,1,4,3,5,,,4,,,,,,,
multiple_choice,Circus Clown Number Hunt,Which circus wagon shows Number 5?,wagon_num5.webp,audio_q5.mp3,1,5,4,3,,,5,,,,,,,
multiple_choice,Circus Clown Number Hunt,Find Number 6 on the unicycle wheel!,wheel_num6.webp,audio_q6.mp3,1,6,5,7,,,6,,,,,,,
multiple_choice,Circus Clown Number Hunt,Which popcorn box shows Number 7?,popcorn_num7.webp,audio_q7.mp3,1,7,6,8,,,7,,,,,,,
multiple_choice,Circus Clown Number Hunt,Tap Number 8 on the circus cannon!,cannon_num8.webp,audio_q8.mp3,1,8,7,9,,,8,,,,,,,
multiple_choice,Circus Clown Number Hunt,Which circus balloon shows Number 9?,balloon_num9.webp,audio_q9.mp3,1,9,8,10,,,9,,,,,,,
multiple_choice,Circus Clown Number Hunt,Tap Number 10 at the circus ring gate!,ring_num10.webp,audio_q10.mp3,1,10,9,8,,,10,,,,,,,
