mission_code,filename,prompt_text,background_type,category
PG-MATH-1.1.1,apple_tree.webp,"A single juicy red apples are hanging on the tree, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style",scene,count_object
PG-MATH-1.1.1,apple_branch.webp,"A single red apples on the branch, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style",scene,count_object
PG-MATH-1.1.1,apple_basket.webp,"A single apples are in the basket, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style",scene,count_object
PG-MATH-1.1.1,apple_grass.webp,"A single juicy red apples on the grass, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style",scene,count_object
PG-MATH-1.1.1,apple_picked.webp,"A single red apples did leo pick, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,count_object
PG-MATH-1.1.1,apple_box.webp,"A single 3 apples in the box, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style",scene,count_object
PG-MATH-1.1.1,apple_top.webp,"A single apples are hanging near the top, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,count_object
PG-MATH-1.1.1,apple_all.webp,"A single red apples together, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,count_object
PG-MATH-1.1.1,mc_q9.webp,"A single 1 red apple, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,multiple_choice
PG-MATH-1.1.1,mc_q10.webp,"A single basket has 2 red apples, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,multiple_choice
PG-MATH-1.1.1,mc_q11.webp,"A single tree has 3 red apples, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,multiple_choice
PG-MATH-1.1.1,mc_q12.webp,"A single 1 apple, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,multiple_choice
PG-MATH-1.1.1,mc_q13.webp,"A single 2 apples, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,multiple_choice
PG-MATH-1.1.1,mc_q14.webp,"A single 3 apples, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,multiple_choice
PG-MATH-1.1.1,apple_single.webp,"A single one apple, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,speak_visual
PG-MATH-1.1.1,apple_two.webp,"A single two apples, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,speak_visual
PG-MATH-1.1.1,apple_three.webp,"A single three apples, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,speak_visual
PG-MATH-1.1.2,banana_basket.webp,"A single yellow bananas are in the basket, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style",scene,count_object
PG-MATH-1.1.2,banana_tree.webp,"A single yellow bananas on the tree, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style",scene,count_object
PG-MATH-1.1.2,banana_picked.webp,"A single sweet bananas did monkey leo pick, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,count_object
PG-MATH-1.1.2,banana_grass.webp,"A single yellow bananas on the grass, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style",scene,count_object
PG-MATH-1.1.2,banana_box.webp,"A single bananas are in the box, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style",scene,count_object
PG-MATH-1.1.2,banana_all.webp,"A single 3 bananas together, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,count_object
PG-MATH-1.1.2,banana_top.webp,"A single bananas are hanging near the top, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style, white background",white,count_object
PG-MATH-1.1.2,banana_plate.webp,"A single ripe bananas on the plate, 2D soft-shaded children's illustration, friendly rounded shapes, vibrant saturated colors, clean simple composition, kid-friendly educational style",scene,count_object
