question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Dinosaur Egg Hatchery 79,Count 1 spotted dino egg in the warm nest!,egg1.webp,audio_q1.mp3,1,1,2,3,,🥚,1,,,,,,,
count_objects,Dinosaur Egg Hatchery 79,Count 2 spotted dino eggs in the nest!,egg2.webp,audio_q2.mp3,1,2,1,3,,🥚,2,,,,,,,
count_objects,Dinosaur Egg Hatchery 79,Count 3 spotted dino eggs on the straw!,egg3.webp,audio_q3.mp3,1,3,2,4,,🥚,3,,,,,,,
count_objects,Dinosaur Egg Hatchery 79,Count 4 dino eggs hatching in the nest!,egg4.webp,audio_q4.mp3,1,4,3,5,,🥚,4,,,,,,,
count_objects,Dinosaur Egg Hatchery 79,Count 5 dino eggs glowing in the warm hatchery!,egg5.webp,audio_q5.mp3,1,5,4,6,,🥚,5,,,,,,,
count_objects,Dinosaur Egg Hatchery 79,Count 6 baby dinosaurs popping out of eggs!,egg6.webp,audio_q6.mp3,1,6,5,7,,🦕,6,,,,,,,
count_objects,Dinosaur Egg Hatchery 79,Count 7 dinosaur eggs nestled by the palm leaves!,egg7.webp,audio_q7.mp3,1,7,6,8,,🥚,7,,,,,,,
count_objects,Dinosaur Egg Hatchery 79,Count 8 dinosaur eggs inside the hatchery cave!,egg8.webp,audio_q8.mp3,1,8,7,9,,🥚,8,,,,,,,
multiple_choice,Dinosaur Egg Hatchery 79,Which nest shows 1 dinosaur egg?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Dinosaur Egg Hatchery 79,Which nest shows 2 dinosaur eggs?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Dinosaur Egg Hatchery 79,Which nest shows 3 dinosaur eggs?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Dinosaur Egg Hatchery 79,Which dinosaur egg is GIANT?,giantegg.webp,audio_q12.mp3,1,🥚,🥚,🪨,,,1,,,,,,,
multiple_choice,Dinosaur Egg Hatchery 79,Which egg is INSIDE the warm straw nest?,nestin.webp,audio_q13.mp3,1,🪹,🪨,🌳,,,1,,,,,,,
multiple_choice,Dinosaur Egg Hatchery 79,What color is the speckled dinosaur egg?,coloregg.webp,audio_q14.mp3,1,🟢,🟣,⬛,,,1,,,,,,,
