question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Sunken Ship Gold Chest 123,Count 1 wooden treasure chest inside the sunken ship!,chest1.webp,audio_q1.mp3,1,1,2,3,,🏴‍☠️,1,,,,,,,
count_objects,Sunken Ship Gold Chest 123,Count 2 sunken gold chests surrounded by seaweed!,chest2.webp,audio_q2.mp3,1,2,1,3,,🏴‍☠️,2,,,,,,,
count_objects,Sunken Ship Gold Chest 123,Count 3 gold coins resting on the ship deck!,coin3.webp,audio_q3.mp3,1,3,2,4,,🪙,3,,,,,,,
count_objects,Sunken Ship Gold Chest 123,Count 4 sunken treasure chests discovered by Leo!,chest4.webp,audio_q4.mp3,1,4,3,5,,🏴‍☠️,4,,,,,,,
count_objects,Sunken Ship Gold Chest 123,Count 5 sparkling gold coins in the ship hold!,coin5.webp,audio_q5.mp3,1,5,4,6,,🪙,5,,,,,,,
count_objects,Sunken Ship Gold Chest 123,Count 6 sunken treasure chests filled with jewels!,chest6.webp,audio_q6.mp3,1,6,5,7,,🏴‍☠️,6,,,,,,,
count_objects,Sunken Ship Gold Chest 123,Count 7 sunken ship badges collected by Diver Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Sunken Ship Gold Chest 123,Count 8 gold coins gleaming underwater!,coin8.webp,audio_q8.mp3,1,8,7,9,,🪙,8,,,,,,,
multiple_choice,Sunken Ship Gold Chest 123,Which picture shows 1 sunken treasure chest?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Sunken Ship Gold Chest 123,Which picture shows 2 sunken chests?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Sunken Ship Gold Chest 123,Which picture shows 3 gold coins?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Sunken Ship Gold Chest 123,Which sunken chest is HEAVY?,heavychest.webp,audio_q12.mp3,1,🏴‍☠️,🍃,📄,,,1,,,,,,,
multiple_choice,Sunken Ship Gold Chest 123,Which sunken ship is AT THE BOTTOM of the ocean?,bottomship.webp,audio_q13.mp3,1,🌊,☁️,🌳,,,1,,,,,,,
multiple_choice,Sunken Ship Gold Chest 123,What color is the sunken gold chest?,chestcol.webp,audio_q14.mp3,1,🪵,🌸,🔵,,,1,,,,,,,
