question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Jellyfish Glow Sequence 122,Count 1 glowing pink jellyfish floating in dark water!,jelly1.webp,audio_q1.mp3,1,1,2,3,,🪼,1,,,,,,,
count_objects,Jellyfish Glow Sequence 122,Count 2 neon jellyfish glowing side by side!,jelly2.webp,audio_q2.mp3,1,2,1,3,,🪼,2,,,,,,,
count_objects,Jellyfish Glow Sequence 122,Count 3 glowing tentacles swaying gently!,tent3.webp,audio_q3.mp3,1,3,2,4,,🪼,3,,,,,,,
count_objects,Jellyfish Glow Sequence 122,Count 4 glowing jellyfish floating together!,jelly4.webp,audio_q4.mp3,1,4,3,5,,🪼,4,,,,,,,
count_objects,Jellyfish Glow Sequence 122,Count 5 sparkling jellyfish in a glowing line!,jelly5.webp,audio_q5.mp3,1,5,4,6,,🪼,5,,,,,,,
count_objects,Jellyfish Glow Sequence 122,Count 6 bioluminescent jellyfish illuminating the reef!,jelly6.webp,audio_q6.mp3,1,6,5,7,,🪼,6,,,,,,,
count_objects,Jellyfish Glow Sequence 122,Count 7 glow badges collected by Diver Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Jellyfish Glow Sequence 122,Count 8 glowing jellyfish floating in deep space ocean!,jelly8.webp,audio_q8.mp3,1,8,7,9,,🪼,8,,,,,,,
multiple_choice,Jellyfish Glow Sequence 122,Which picture shows 1 glowing jellyfish?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Jellyfish Glow Sequence 122,Which picture shows 2 neon jellyfish?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Jellyfish Glow Sequence 122,Which picture shows 3 glowing tentacles?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Jellyfish Glow Sequence 122,Which jellyfish is GLOWING BRIGHT?,glowjelly.webp,audio_q12.mp3,1,🪼,🪨,🕳️,,,1,,,,,,,
multiple_choice,Jellyfish Glow Sequence 122,Which jellyfish is SOFT & TRANSPARENT?,softjelly.webp,audio_q13.mp3,1,🪼,⚓,🪨,,,1,,,,,,,
multiple_choice,Jellyfish Glow Sequence 122,What color is the glowing bioluminescent jellyfish?,jellycol.webp,audio_q14.mp3,1,🪼,⬛,⬜,,,1,,,,,,,
