question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
matching,Toy Chest Quantity Match,Match teddy bear groups to number cards!,,,1,,,,,,,,1,1,3,3,5,5
matching,Toy Chest Quantity Match,Match toy cars to number digits!,,,1,,,,,,,,2,2,4,4,6,6
matching,Toy Chest Quantity Match,Match wooden blocks to number digits!,,,1,,,,,,,,7,7,8,8,10,10
matching,Toy Chest Quantity Match,Match toy robot cards to number digits!,,,1,,,,,,,,🤖,1,🤖,3,🤖,5
matching,Toy Chest Quantity Match,Match bouncy balls to number digits!,,,1,,,,,,,,4,4,6,6,8,8
matching,Toy Chest Quantity Match,Match dollhouse rooms to number digits!,,,1,,,,,,,,2,2,5,5,10,10
count_objects,Toy Chest Quantity Match,How many teddy bears are inside the toy chest?,chest_bears.webp,audio_q7.mp3,1,5,4,6,,🧸,5,,,,,,,
count_objects,Toy Chest Quantity Match,Count all 8 toy cars parked in the toy box!,box_cars.webp,audio_q8.mp3,1,8,7,9,,🚗,8,,,,,,,
multiple_choice,Toy Chest Quantity Match,Which card matches 4 toy blocks?,mc_q9.webp,audio_q9.mp3,1,4,3,5,,,4,,,,,,,
multiple_choice,Toy Chest Quantity Match,Which card matches 6 bouncy balls?,mc_q10.webp,audio_q10.mp3,1,6,5,7,,,6,,,,,,,
multiple_choice,Toy Chest Quantity Match,Which card matches 10 toy soldiers?,mc_q11.webp,audio_q11.mp3,1,10,9,8,,,10,,,,,,,
