question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Astronaut Helmet Explorer 100,Count 1 white astronaut helmet with a gold visor!,helm1.webp,audio_q1.mp3,1,1,2,3,,🧑‍🚀,1,,,,,,,
count_objects,Astronaut Helmet Explorer 100,Count 2 astronaut helmets on the locker shelf!,helm2.webp,audio_q2.mp3,1,2,1,3,,🧑‍🚀,2,,,,,,,
count_objects,Astronaut Helmet Explorer 100,Count 3 space suits ready for spacewalk!,suit3.webp,audio_q3.mp3,1,3,2,4,,👔,3,,,,,,,
count_objects,Astronaut Helmet Explorer 100,Count 4 white helmets worn by Leo's space crew!,helm4.webp,audio_q4.mp3,1,4,3,5,,🧑‍🚀,4,,,,,,,
count_objects,Astronaut Helmet Explorer 100,Count 5 space suits hanging in the airlock!,suit5.webp,audio_q5.mp3,1,5,4,6,,👔,5,,,,,,,
count_objects,Astronaut Helmet Explorer 100,Count 6 astronaut helmets shining under starlight!,helm6.webp,audio_q6.mp3,1,6,5,7,,🧑‍🚀,6,,,,,,,
count_objects,Astronaut Helmet Explorer 100,Count 7 spacewalk helmets inspected by Leo!,helm7.webp,audio_q7.mp3,1,7,6,8,,🧑‍🚀,7,,,,,,,
count_objects,Astronaut Helmet Explorer 100,Count 8 astronaut badges earned in space!,badge8.webp,audio_q8.mp3,1,8,7,9,,🎖️,8,,,,,,,
multiple_choice,Astronaut Helmet Explorer 100,Which picture shows 1 astronaut helmet?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Astronaut Helmet Explorer 100,Which picture shows 2 astronaut helmets?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Astronaut Helmet Explorer 100,Which picture shows 3 space suits?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Astronaut Helmet Explorer 100,Which helmet is WHITE & SHINY?,whitehelm.webp,audio_q12.mp3,1,🧑‍🚀,🪨,🪵,,,1,,,,,,,
multiple_choice,Astronaut Helmet Explorer 100,Which helmet visor is ROUND?,roundvisor.webp,audio_q13.mp3,1,🟡,🟦,🔺,,,1,,,,,,,
multiple_choice,Astronaut Helmet Explorer 100,Which astronaut is INSIDE the space suit?,suitin.webp,audio_q14.mp3,1,🧑‍🚀,🌊,🕳️,,,1,,,,,,,
