question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
multiple_choice,Dinosaur Island Number Hunt,Tap the number 0 on the empty dino nest!,nest0.webp,audio_q1.mp3,1,0,3,5,,,1,,,,,,,
multiple_choice,Dinosaur Island Number Hunt,Which dinosaur egg has the number 4?,egg4.webp,audio_q2.mp3,1,4,1,2,,,4,,,,,,,
multiple_choice,Dinosaur Island Number Hunt,Tap the number 5 on the T-Rex footprint!,print5.webp,audio_q3.mp3,1,5,3,0,,,5,,,,,,,
multiple_choice,Dinosaur Island Number Hunt,Find the number 3 on the Pterodactyl wing!,wing3.webp,audio_q4.mp3,1,3,4,1,,,3,,,,,,,
multiple_choice,Dinosaur Island Number Hunt,Tap the number 2 on the jungle rock!,rock2.webp,audio_q5.mp3,1,2,5,0,,,2,,,,,,,
multiple_choice,Dinosaur Island Number Hunt,Which dino shield shows number 1?,shield1.webp,audio_q6.mp3,1,1,4,3,,,1,,,,,,,
multiple_choice,Dinosaur Island Number Hunt,Tap the number 0! Zero means empty nest!,zero0.webp,audio_q7.mp3,1,0,2,5,,,0,,,,,,,
multiple_choice,Dinosaur Island Number Hunt,Tap the number 5 for victory!,victory5.webp,audio_q8.mp3,1,5,4,1,,,5,,,,,,,
count_objects,Dinosaur Island Number Hunt,How many baby dinosaurs hatched from eggs?,hatch.webp,audio_q9.mp3,1,4,3,5,,🦕,4,,,,,,,
count_objects,Dinosaur Island Number Hunt,How many dino eggs are in the nest?,nest.webp,audio_q10.mp3,1,5,4,2,,🪺,5,,,,,,,
count_objects,Dinosaur Island Number Hunt,Count the green Stegosaurus dinosaurs!,stego.webp,audio_q11.mp3,1,3,2,4,,🦖,3,,,,,,,
count_objects,Dinosaur Island Number Hunt,How many flying Pterodactyls are in the sky?,ptero.webp,audio_q12.mp3,1,2,1,3,,🦅,2,,,,,,,
count_objects,Dinosaur Island Number Hunt,How many dino footprints are on the ground?,prints.webp,audio_q13.mp3,1,5,4,3,,🐾,5,,,,,,,
count_objects,Dinosaur Island Number Hunt,Count the big palm trees!,trees.webp,audio_q14.mp3,1,4,3,5,,🌴,4,,,,,,,
matching,Dinosaur Island Number Hunt,Match baby dinosaurs to number cards 0-5!,,,1,,,,,,ops,3 Baby Dinos 🦕,3,4,4,5,5,
matching,Dinosaur Island Number Hunt,Match number 0 to empty nest!,,,1,,,,,,ops,0,🪹,1,1,2,2,
matching,Dinosaur Island Number Hunt,Match dinosaurs to number flags!,,,1,,,,,,ops,4 T-Rexes,4,5,5,3,3,
matching,Dinosaur Island Number Hunt,Match number symbols to color stars!,,,1,,,,,,ops,4,4,5,5,2,2,
matching,Dinosaur Island Number Hunt,Match dino traits!,,,1,,,,,,ops,T-Rex,Big,Raptor,Fast,Pterodactyl,Fly,
matching,Dinosaur Island Number Hunt,Match numbers 0-5!,,,1,,,,,,ops,4,Four,5,Five,0,Zero,
