question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Moon Rover Rock Collector 97,Count 1 moon rock collected by the rover!,rock1.webp,audio_q1.mp3,1,1,2,3,,🪨,1,,,,,,,
count_objects,Moon Rover Rock Collector 97,Count 2 moon rovers driving over craters!,rover2.webp,audio_q2.mp3,1,2,1,3,,🏎️,2,,,,,,,
count_objects,Moon Rover Rock Collector 97,Count 3 glowing space crystals in the rover basket!,crys3.webp,audio_q3.mp3,1,3,2,4,,💎,3,,,,,,,
count_objects,Moon Rover Rock Collector 97,Count 4 moon rocks lined up on lunar soil!,rock4.webp,audio_q4.mp3,1,4,3,5,,🪨,4,,,,,,,
count_objects,Moon Rover Rock Collector 97,Count 5 rover wheels spinning in low gravity!,wheel5.webp,audio_q5.mp3,1,5,4,6,,⚙️,5,,,,,,,
count_objects,Moon Rover Rock Collector 97,Count 6 moon rocks stored in the lab container!,rock6.webp,audio_q6.mp3,1,6,5,7,,🪨,6,,,,,,,
count_objects,Moon Rover Rock Collector 97,Count 7 lunar craters explored by Rover Leo!,crater7.webp,audio_q7.mp3,1,7,6,8,,🕳️,7,,,,,,,
count_objects,Moon Rover Rock Collector 97,Count 8 sparkling space rocks in the collection!,rock8.webp,audio_q8.mp3,1,8,7,9,,🪨,8,,,,,,,
multiple_choice,Moon Rover Rock Collector 97,Which picture shows 1 moon rock?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Moon Rover Rock Collector 97,Which picture shows 2 moon rovers?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Moon Rover Rock Collector 97,Which picture shows 3 space crystals?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Moon Rover Rock Collector 97,Which moon rock is HEAVY?,heavyrock.webp,audio_q12.mp3,1,🪨,🌫️,🪶,,,1,,,,,,,
multiple_choice,Moon Rover Rock Collector 97,Which rover is ON THE MOON surface?,moonon.webp,audio_q13.mp3,1,🌕,🌊,☁️,,,1,,,,,,,
multiple_choice,Moon Rover Rock Collector 97,What color is lunar moon soil?,soilcol.webp,audio_q14.mp3,1,⚪,🔴,🟢,,,1,,,,,,,
