question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Crystal Cave Gem Sort 132,Count 1 sparkling blue crystal gem in the cave!,gem1.webp,audio_q1.mp3,1,1,2,3,,💎,1,,,,,,,
count_objects,Crystal Cave Gem Sort 132,Count 2 purple crystal clusters glowing on rocks!,gem2.webp,audio_q2.mp3,1,2,1,3,,💎,2,,,,,,,
count_objects,Crystal Cave Gem Sort 132,Count 3 red ruby gems inside Leo's pouch!,gem3.webp,audio_q3.mp3,1,3,2,4,,💎,3,,,,,,,
count_objects,Crystal Cave Gem Sort 132,Count 4 sparkling crystal gems on the cave wall!,gem4.webp,audio_q4.mp3,1,4,3,5,,💎,4,,,,,,,
count_objects,Crystal Cave Gem Sort 132,Count 5 emerald green gems sorted by Leo!,gem5.webp,audio_q5.mp3,1,5,4,6,,💎,5,,,,,,,
count_objects,Crystal Cave Gem Sort 132,Count 6 glowing crystal gems in a row!,gem6.webp,audio_q6.mp3,1,6,5,7,,💎,6,,,,,,,
count_objects,Crystal Cave Gem Sort 132,Count 7 crystal badges awarded in the cave!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Crystal Cave Gem Sort 132,Count 8 sparkling crystal gems in the collection!,gem8.webp,audio_q8.mp3,1,8,7,9,,💎,8,,,,,,,
multiple_choice,Crystal Cave Gem Sort 132,Which picture shows 1 sparkling crystal gem?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Crystal Cave Gem Sort 132,Which picture shows 2 purple crystal clusters?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Crystal Cave Gem Sort 132,Which picture shows 3 red ruby gems?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Crystal Cave Gem Sort 132,Which crystal gem is SHINY & BRIGHT?,shinygem.webp,audio_q12.mp3,1,💎,🪨,🪵,,,1,,,,,,,
multiple_choice,Crystal Cave Gem Sort 132,Which gem is INSIDE the cave?,cavein.webp,audio_q13.mp3,1,🪨,☁️,🌊,,,1,,,,,,,
multiple_choice,Crystal Cave Gem Sort 132,What color is the glowing purple crystal?,gemcol.webp,audio_q14.mp3,1,💎,⬛,⬜,,,1,,,,,,,
