question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Dinosaur Valley 76,How many baby T-Rex dinosaurs are hatching from eggs?,trex_hatch.webp,audio_q1.mp3,1,3,2,4,,🦖,3,,,,,,,
count_objects,Dinosaur Valley 76,Count all 5 green stegosaurus dinosaurs eating leaves!,stego_count.webp,audio_q2.mp3,1,5,4,6,,🦕,5,,,,,,,
multiple_choice,Dinosaur Valley 76,Which dino egg has Number 3 written on it?,egg3.webp,audio_q3.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Dinosaur Valley 76,Which volcano shows Number 5?,volcano5.webp,audio_q4.mp3,1,5,4,6,,,5,,,,,,,
speak_repeat,Dinosaur Valley 76,Say out loud: DINOSAUR MATH!,dino_speak.webp,audio_q5.mp3,1,Dinosaur Math,,,,,,Dinosaur Math,,,,,,
matching,Dinosaur Valley 76,Match dino footprints to number digits!,,,1,,,,,,ops,Footprint 2,2,4,4,5,5,
matching,Dinosaur Valley 76,Match dino eggs to number cards!,,,1,,,,,,ops,Egg 1,1,3,3,5,5,
count_objects,Dinosaur Valley 76,How many pterodactyls are flying over the peak?,ptero_count.webp,audio_q8.mp3,1,4,3,5,,🦅,4,,,,,,,
count_objects,Dinosaur Valley 76,Count all 2 triceratops grazing by the stream!,tri_count.webp,audio_q9.mp3,1,2,1,3,,🦕,2,,,,,,,
multiple_choice,Dinosaur Valley 76,Which footprint is BIG?,big_foot.webp,audio_q10.mp3,1,🐾,🐾,TINY,,,1,,,,,,,
multiple_choice,Dinosaur Valley 76,Which dino is GREEN?,green_dino.webp,audio_q11.mp3,1,🦕,🦖,🐊,,,1,,,,,,,
speak_repeat,Dinosaur Valley 76,Say out loud: FIVE DINOSAURS!,five_speak.webp,audio_q12.mp3,1,Five Dinosaurs,,,,,,Five Dinosaurs,,,,,,
matching,Dinosaur Valley 76,Match dino sizes!,,,1,,,,,,ops,T-Rex 🦖,BIG,🦕,SMALL,🦅,MEDIUM,
complete_pattern,Dinosaur Valley 76,What comes next: 🦕 🦖 🦕 _?,pattern_q14.webp,audio_q14.mp3,1,🦖,🦕,🐊,,,,,,,,,,
complete_pattern,Dinosaur Valley 76,Complete sequence: 1 2 3 _ 5?,seq_q15.webp,audio_q15.mp3,1,4,3,5,,,,,,,,,,
multiple_choice,Dinosaur Valley 76,Which nest is INSIDE the cave?,nest_inside.webp,audio_q16.mp3,1,🪺,🪺,🐦,,,1,,,,,,,
multiple_choice,Dinosaur Valley 76,Which tree is TALL?,tall_tree.webp,audio_q17.mp3,1,🌳,🪴,🌱,,,1,,,,,,,
matching,Dinosaur Valley 76,Match number symbols to star badges!,,,1,,,,,,ops,2,2,4,4,5,5,
speak_repeat,Dinosaur Valley 76,Say out loud: I AM A DINO CHAMPION!,champ_speak.webp,audio_q19.mp3,1,I Am A Dino Champion,,,,,,I Am A Dino Champion,,,,,,
multiple_choice,Dinosaur Valley 76,Tap the final Dino Quest 76 Master badge!,badge_dino.webp,audio_q20.mp3,1,🦖,⭐,🏆,,,1,,,,,,,
