question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Pirate Flag Skull Match 94,Count 1 black pirate flag waving on the mast!,flag1.webp,audio_q1.mp3,1,1,2,3,,🏴‍☠️,1,,,,,,,
count_objects,Pirate Flag Skull Match 94,Count 2 pirate flags with white skull emblems!,flag2.webp,audio_q2.mp3,1,2,1,3,,🏴‍☠️,2,,,,,,,
count_objects,Pirate Flag Skull Match 94,Count 3 pirate skull badges on the ship!,skull3.webp,audio_q3.mp3,1,3,2,4,,💀,3,,,,,,,
count_objects,Pirate Flag Skull Match 94,Count 4 pirate flags in a row!,flag4.webp,audio_q4.mp3,1,4,3,5,,🏴‍☠️,4,,,,,,,
count_objects,Pirate Flag Skull Match 94,Count 5 skull emblems drawn on the sails!,skull5.webp,audio_q5.mp3,1,5,4,6,,💀,5,,,,,,,
count_objects,Pirate Flag Skull Match 94,Count 6 pirate flags flying over the fort!,flag6.webp,audio_q6.mp3,1,6,5,7,,🏴‍☠️,6,,,,,,,
count_objects,Pirate Flag Skull Match 94,Count 7 skull badges collected by Leo!,skull7.webp,audio_q7.mp3,1,7,6,8,,💀,7,,,,,,,
count_objects,Pirate Flag Skull Match 94,Count 8 pirate flags fluttering in the breeze!,flag8.webp,audio_q8.mp3,1,8,7,9,,🏴‍☠️,8,,,,,,,
multiple_choice,Pirate Flag Skull Match 94,Which picture shows 1 pirate flag?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Pirate Flag Skull Match 94,Which picture shows 2 pirate flags?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Pirate Flag Skull Match 94,Which picture shows 3 pirate flags?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Pirate Flag Skull Match 94,Which pirate flag is HIGH on the mast?,highflag.webp,audio_q12.mp3,1,🏴‍☠️,🚢,🌊,,,1,,,,,,,
multiple_choice,Pirate Flag Skull Match 94,Which skull is WHITE on black cloth?,whiteskull.webp,audio_q13.mp3,1,💀,🚩,⛵,,,1,,,,,,,
multiple_choice,Pirate Flag Skull Match 94,What shape is the flag cloth?,flagshape.webp,audio_q14.mp3,1,🟧,🟡,🔺,,,1,,,,,,,
