question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Pirate Spyglass Island View 93,Count 1 golden brass spyglass!,glass1.webp,audio_q1.mp3,1,1,2,3,,🔭,1,,,,,,,
count_objects,Pirate Spyglass Island View 93,Count 2 spyglasses on the captain's desk!,glass2.webp,audio_q2.mp3,1,2,1,3,,🔭,2,,,,,,,
count_objects,Pirate Spyglass Island View 93,Count 3 distant islands seen through the spyglass!,island3.webp,audio_q3.mp3,1,3,2,4,,🏝️,3,,,,,,,
count_objects,Pirate Spyglass Island View 93,Count 4 golden spyglasses in the wooden case!,glass4.webp,audio_q4.mp3,1,4,3,5,,🔭,4,,,,,,,
count_objects,Pirate Spyglass Island View 93,Count 5 palm islands spotted far away!,island5.webp,audio_q5.mp3,1,5,4,6,,🏝️,5,,,,,,,
count_objects,Pirate Spyglass Island View 93,Count 6 spyglasses used by Captain Leo's crew!,glass6.webp,audio_q6.mp3,1,6,5,7,,🔭,6,,,,,,,
count_objects,Pirate Spyglass Island View 93,Count 7 pirate ships spotted in the distance!,ship7.webp,audio_q7.mp3,1,7,6,8,,⛵,7,,,,,,,
count_objects,Pirate Spyglass Island View 93,Count 8 spyglass lenses shining in the sun!,lens8.webp,audio_q8.mp3,1,8,7,9,,🔍,8,,,,,,,
multiple_choice,Pirate Spyglass Island View 93,Which picture shows 1 spyglass?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Pirate Spyglass Island View 93,Which picture shows 2 spyglasses?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Pirate Spyglass Island View 93,Which picture shows 3 spyglasses?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Pirate Spyglass Island View 93,Which island is FAR away in the ocean?,farisland.webp,audio_q12.mp3,1,🏝️,⛵,🌊,,,1,,,,,,,
multiple_choice,Pirate Spyglass Island View 93,Which spyglass is LONG?,longglass.webp,audio_q13.mp3,1,🔭,🔍,🪙,,,1,,,,,,,
multiple_choice,Pirate Spyglass Island View 93,What shape is the round spyglass lens?,lensshape.webp,audio_q14.mp3,1,🟡,🟦,🔺,,,1,,,,,,,
