question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Galactic Planet Sort 102,Count 1 blue marble Earth planet in space!,planet1.webp,audio_q1.mp3,1,1,2,3,,🌍,1,,,,,,,
count_objects,Galactic Planet Sort 102,Count 2 red Mars planets orbiting nearby!,planet2.webp,audio_q2.mp3,1,2,1,3,,🪐,2,,,,,,,
count_objects,Galactic Planet Sort 102,Count 3 galactic planets in a row!,planet3.webp,audio_q3.mp3,1,3,2,4,,🌌,3,,,,,,,
count_objects,Galactic Planet Sort 102,Count 4 colorful planets in the solar system!,planet4.webp,audio_q4.mp3,1,4,3,5,,🪐,4,,,,,,,
count_objects,Galactic Planet Sort 102,Count 5 Earth planets shining bright blue!,planet5.webp,audio_q5.mp3,1,5,4,6,,🌍,5,,,,,,,
count_objects,Galactic Planet Sort 102,Count 6 galactic planets spinning around the sun!,planet6.webp,audio_q6.mp3,1,6,5,7,,🪐,6,,,,,,,
count_objects,Galactic Planet Sort 102,Count 7 space planet cards sorted by Leo!,planet7.webp,audio_q7.mp3,1,7,6,8,,🌌,7,,,,,,,
count_objects,Galactic Planet Sort 102,Count 8 planets in the galaxy alignment!,planet8.webp,audio_q8.mp3,1,8,7,9,,🪐,8,,,,,,,
multiple_choice,Galactic Planet Sort 102,Which picture shows 1 Earth planet?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Galactic Planet Sort 102,Which picture shows 2 Mars planets?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Galactic Planet Sort 102,Which picture shows 3 galactic planets?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Galactic Planet Sort 102,Which planet is BIG & ROUND?,bigplanet.webp,audio_q12.mp3,1,🪐,⭐,🪨,,,1,,,,,,,
multiple_choice,Galactic Planet Sort 102,What color is planet Earth from space?,earthcol.webp,audio_q13.mp3,1,🌍,🟡,🌸,,,1,,,,,,,
multiple_choice,Galactic Planet Sort 102,Which planet is IN THE GALAXY?,galaxyin.webp,audio_q14.mp3,1,🌌,🕳️,🌊,,,1,,,,,,,
