question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
multiple_choice,PP2-ENG-1.1.1_AT_Word_Family_Safari,Which word belongs to the -at family and meows?,at_q1.webp,audio_at1.mp3,1,CAT,DOG,PIG,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.1_AT_Word_Family_Safari,Which word belongs to the -at family and wears on a head?,at_q2.webp,audio_at2.mp3,1,HAT,VAN,MOP,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.1_AT_Word_Family_Safari,Spell the -at family word for a floor mat!,at_q3.webp,audio_at3.mp3,1,MAT,BAT,RAT,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.1_AT_Word_Family_Safari,Which flying creature belongs to the -at family?,at_q4.webp,audio_at4.mp3,1,BAT,BUG,PEN,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.1_AT_Word_Family_Safari,Which small rodent belongs to the -at family?,at_q5.webp,audio_at5.mp3,1,RAT,FOX,HEN,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.1_AT_Word_Family_Safari,Cat, Hat, Mat, and Bat all end with...?,at_q6.webp,audio_at6.mp3,1,-AT,-AN,-IG,,,1,,,,,,,
count_objects,PP2-ENG-1.1.1_AT_Word_Family_Safari,Count 4 friendly cats in the -at family!,at_count1.webp,audio_at7.mp3,1,4,2,3,,🐱,4,,,,,,,
count_objects,PP2-ENG-1.1.1_AT_Word_Family_Safari,Count 3 hats on safari!,at_count2.webp,audio_at8.mp3,1,3,1,5,,👒,3,,,,,,,
count_objects,PP2-ENG-1.1.1_AT_Word_Family_Safari,Count 5 flying bats at sunset!,at_count3.webp,audio_at9.mp3,1,5,3,4,,🦇,5,,,,,,,
speak_repeat,PP2-ENG-1.1.1_AT_Word_Family_Safari,Say out loud clearly: CAT HAT MAT BAT RAT ALL RHYME WITH AT!,speak_at1.webp,audio_at10.mp3,1,Cat Hat Mat Bat Rat All Rhyme With At,,,,,,Cat Hat Mat Bat Rat All Rhyme With At,,,,,,,
speak_repeat,PP2-ENG-1.1.1_AT_Word_Family_Safari,Say out loud clearly: THE CAT SAT ON THE MAT WITH A HAT!,speak_at2.webp,audio_at11.mp3,1,The Cat Sat On The Mat With A Hat,,,,,,The Cat Sat On The Mat With A Hat,,,,,,,
matching,PP2-ENG-1.1.1_AT_Word_Family_Safari,Match -at family rhyming words!,,,1,,,,,,,,Cat 🐱,HAT,Mat 🪵,BAT,Rat 🐀,RAT
matching,PP2-ENG-1.1.1_AT_Word_Family_Safari,Match -at words to pictures!,,,1,,,,,,,,Cat,🐱,Hat,👒,Bat,🦇
multiple_choice,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Which word belongs to the -an family and blows cool air?,an_q1.webp,audio_an1.mp3,1,FAN,PIN,MOP,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Which vehicle word belongs to the -an family?,an_q2.webp,audio_an2.mp3,1,VAN,BUS,CAR,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Which grown-up person word belongs to the -an family?,an_q3.webp,audio_an3.mp3,1,MAN,BOY,GIRL,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Which cooking tool belongs to the -an family?,an_q4.webp,audio_an4.mp3,1,PAN,POT,CUP,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Which metal drink container belongs to the -an family?,an_q5.webp,audio_an5.mp3,1,CAN,BOX,JAR,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Fan, Van, Man, and Pan all end with...?,an_q6.webp,audio_an6.mp3,1,-AN,-AT,-UG,,,1,,,,,,,
count_objects,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Count 3 cooling fans in the -an family!,an_count1.webp,audio_an7.mp3,1,3,2,4,,🪭,3,,,,,,,
count_objects,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Count 4 safari vans on the road!,an_count2.webp,audio_an8.mp3,1,4,2,5,,🚐,4,,,,,,,
count_objects,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Count 2 cooking pans!,an_count3.webp,audio_an9.mp3,1,2,1,3,,🍳,2,,,,,,,
speak_repeat,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Say out loud clearly: FAN VAN MAN PAN CAN ALL RHYME WITH AN!,speak_an1.webp,audio_an10.mp3,1,Fan Van Man Pan Can All Rhyme With An,,,,,,Fan Van Man Pan Can All Rhyme With An,,,,,,,
speak_repeat,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Say out loud clearly: THE MAN DROVE A VAN WITH A FAN!,speak_an2.webp,audio_an11.mp3,1,The Man Drove A Van With A Fan,,,,,,The Man Drove A Van With A Fan,,,,,,,
matching,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Match -an family rhyming words!,,,1,,,,,,,,Fan 🪭,VAN,Man 👨,PAN,Can 🥫,CAN
matching,PP2-ENG-1.1.2_AN_Word_Family_Fan_Van_Man,Match -an words to pictures!,,,1,,,,,,,,Fan,🪭,Van,🚐,Pan,🍳
multiple_choice,PP2-ENG-1.1.3_IN_Word_Family_Pin_Win_Bin,Which word belongs to the -in family and fastens clothes?,in_q1.webp,audio_in1.mp3,1,PIN,PAN,PEN,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.3_IN_Word_Family_Pin_Win_Bin,Which word means coming first in a race?,in_q2.webp,audio_in2.mp3,1,WIN,RUN,HOP,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.3_IN_Word_Family_Pin_Win_Bin,Which container for rubbish belongs to the -in family?,in_q3.webp,audio_in3.mp3,1,BIN,BOX,POT,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.3_IN_Word_Family_Pin_Win_Bin,Which fish body part belongs to the -in family?,in_q4.webp,audio_in4.mp3,1,FIN,TAIL,LEG,,,1,,,,,,,
multiple_choice,PP2-ENG-1.1.3_IN_Word_Family_Pin_Win_Bin,Which metal can word belongs to the -in family?,in_q5.webp,audio_in5.mp3,1,TIN,CAN,JAR,,,1,,,,,,,
