question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Pirate Gold Coin Stack 87,Count 1 shiny pirate gold coin!,coin1.webp,audio_q1.mp3,1,1,2,3,,🪙,1,,,,,,,
count_objects,Pirate Gold Coin Stack 87,Count 2 gold coins stacked in the chest!,coin2.webp,audio_q2.mp3,1,2,1,3,,🪙,2,,,,,,,
count_objects,Pirate Gold Coin Stack 87,Count 3 gold coins on the treasure map!,coin3.webp,audio_q3.mp3,1,3,2,4,,🪙,3,,,,,,,
count_objects,Pirate Gold Coin Stack 87,Count 4 gold coins in Captain Leo's hand!,coin4.webp,audio_q4.mp3,1,4,3,5,,🪙,4,,,,,,,
count_objects,Pirate Gold Coin Stack 87,Count 5 shiny gold coins in the pouch!,coin5.webp,audio_q5.mp3,1,5,4,6,,🪙,5,,,,,,,
count_objects,Pirate Gold Coin Stack 87,Count 6 gold coins sparkling in the sun!,coin6.webp,audio_q6.mp3,1,6,5,7,,🪙,6,,,,,,,
count_objects,Pirate Gold Coin Stack 87,Count 7 gold coins stacked high on the table!,coin7.webp,audio_q7.mp3,1,7,6,8,,🪙,7,,,,,,,
count_objects,Pirate Gold Coin Stack 87,Count 8 gold coins in the pirate treasure pile!,coin8.webp,audio_q8.mp3,1,8,7,9,,🪙,8,,,,,,,
multiple_choice,Pirate Gold Coin Stack 87,Which picture shows 1 gold coin?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Pirate Gold Coin Stack 87,Which picture shows 2 gold coins?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Pirate Gold Coin Stack 87,Which picture shows 3 gold coins?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Pirate Gold Coin Stack 87,Which coin stack is TALL?,tallstack.webp,audio_q12.mp3,1,🪙,🪙,🪙,,,1,,,,,,,
multiple_choice,Pirate Gold Coin Stack 87,Which coin is INSIDE the leather pouch?,pouchin.webp,audio_q13.mp3,1,👛,🏖️,🌊,,,1,,,,,,,
multiple_choice,Pirate Gold Coin Stack 87,What color is pirate gold coin?,coincol.webp,audio_q14.mp3,1,🟡,🔴,🔵,,,1,,,,,,,
