question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
count_objects,Pirate Parrot Secret Code 91,Count 1 colorful pirate parrot perched on the branch!,parrot1.webp,audio_q1.mp3,1,1,2,3,,🦜,1,,,,,,,
count_objects,Pirate Parrot Secret Code 91,Count 2 parrots squawking pirate secrets!,parrot2.webp,audio_q2.mp3,1,2,1,3,,🦜,2,,,,,,,
count_objects,Pirate Parrot Secret Code 91,Count 3 green and red feathers in the nest!,feather3.webp,audio_q3.mp3,1,3,2,4,,🪶,3,,,,,,,
count_objects,Pirate Parrot Secret Code 91,Count 4 pirate parrots flying around the ship!,parrot4.webp,audio_q4.mp3,1,4,3,5,,🦜,4,,,,,,,
count_objects,Pirate Parrot Secret Code 91,Count 5 parrot code cards held by Leo!,card5.webp,audio_q5.mp3,1,5,4,6,,🎴,5,,,,,,,
count_objects,Pirate Parrot Secret Code 91,Count 6 colourful parrots singing together!,parrot6.webp,audio_q6.mp3,1,6,5,7,,🦜,6,,,,,,,
count_objects,Pirate Parrot Secret Code 91,Count 7 feather badges awarded to Captain Leo!,badge7.webp,audio_q7.mp3,1,7,6,8,,🏅,7,,,,,,,
count_objects,Pirate Parrot Secret Code 91,Count 8 pirate parrots perching on the palm tree!,parrot8.webp,audio_q8.mp3,1,8,7,9,,🦜,8,,,,,,,
multiple_choice,Pirate Parrot Secret Code 91,Which picture shows 1 pirate parrot?,mc_q9.webp,audio_q9.mp3,1,1,2,3,,,1,,,,,,,
multiple_choice,Pirate Parrot Secret Code 91,Which picture shows 2 pirate parrots?,mc_q10.webp,audio_q10.mp3,1,2,1,3,,,2,,,,,,,
multiple_choice,Pirate Parrot Secret Code 91,Which picture shows 3 pirate parrots?,mc_q11.webp,audio_q11.mp3,1,3,2,4,,,3,,,,,,,
multiple_choice,Pirate Parrot Secret Code 91,Which parrot is flying HIGH in the sky?,highparrot.webp,audio_q12.mp3,1,🦜,🌾,🌊,,,1,,,,,,,
multiple_choice,Pirate Parrot Secret Code 91,Which parrot feather is LONG?,longfeather.webp,audio_q13.mp3,1,🪶,🦜,🌱,,,1,,,,,,,
multiple_choice,Pirate Parrot Secret Code 91,What color is the bright pirate parrot?,parrotcol.webp,audio_q14.mp3,1,🦜,⬛,⬜,,,1,,,,,,,
