question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
matching,Farm Animal Number Match,Match farm animals to number digits!,,,1,,,,,,,,1,1,3,3,5,5
matching,Farm Animal Number Match,Match barn animals to number digits!,,,1,,,,,,,,2,2,4,4,6,6
matching,Farm Animal Number Match,Match baby chicks to number digits!,,,1,,,,,,,,7,7,8,8,10,10
matching,Farm Animal Number Match,Match tractor cards to number digits!,,,1,,,,,,,,1,1,3,3,5,5
matching,Farm Animal Number Match,Match hay bales to number digits!,,,1,,,,,,,,4,4,6,6,8,8
matching,Farm Animal Number Match,Match farm fences to number digits!,,,1,,,,,,,,2,2,5,5,10,10
count_objects,Farm Animal Number Match,How many spotted cows are grazing in the field?,field_cows.webp,audio_q7.mp3,1,5,4,6,,🐮,5,,,,,,,
count_objects,Farm Animal Number Match,Count all 8 yellow chicks feeding on grain!,chicks_count.webp,audio_q8.mp3,1,8,7,9,,🐥,8,,,,,,,
multiple_choice,Farm Animal Number Match,Which card matches 4 farm pigs?,mc_q9.webp,audio_q9.mp3,1,4,3,5,,,4,,,,,,,
multiple_choice,Farm Animal Number Match,Which card matches 6 farm ducks?,mc_q10.webp,audio_q10.mp3,1,6,5,7,,,6,,,,,,,
multiple_choice,Farm Animal Number Match,Which card matches 10 farm sheep?,mc_q11.webp,audio_q11.mp3,1,10,9,8,,,10,,,,,,,
